project_id|sector|ward|project_name|approval_status|reason_not_approved|year|source_document|source_url
CDF2025-036|Infrastructure|Mpongwe Central|Construction of a modern police station|Not Approved|A modern police station was already under construction; project falls under the Ministry of Infrastructure|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-037|Health|Mpongwe Central|Renovation of Old District Administration Office into Rural Urban Central Clinic|Not Approved|No documentation for transfer of property from Provincial Administration|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-038|Health|Mpongwe Central|Purchase of X- Ray and Scanner at Mpongwe Mission Hospital|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-039||Mpongwe Central|Purchase of solar panel as power backup for National Assembly Mpongwe Constituency|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-040|Health|Kasonga|Construction of Mitumba Hill Health Post|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-041|Education|Kasonga|Construction of 1x3 CRB at Mangonwa Community School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-042|Education|Kasonga|Construction of 1x3 CRB at Chunga Community School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-043|Agriculture|Kasonga|Construction of Agricultural staff house at Mushiwe|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-044|Education|Kasonga|Construction of 1x3 CRB at Kasonkomona twebo Primary School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-045|Education|Ipumbu|Construction of 1x3 CRB at Nkulushu Primary School|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-046|Economic|Ipumbu|Construction of a market shelter and ablution block at Ipumbu Market|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-047|Health|Ipumbu|Construction of 1 staff house,ablution block and eqiupment for mothers shelter at Ipumbu Clinic.|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
